"vuosikymmen","sukupuoli_f","pituus_f","syvyys_f","pinta_ala_f","pyoreys_f","lento_km"
"00-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2366.055726
"00-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",1293.791129
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3588.946757
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2821.991148
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",4429.837815
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2940.262307
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2444.434627
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3649.202627
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3760.812589
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3708.033949
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3900.092851
"10-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3649.202627
"90-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",4429.837815
"00-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3588.946757
"00-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",4020.106837
"80-l","F","52.00-54.99","740.0-839.0","740.0-839.0","0.1200-0.1299",4429.837815
"80-l","M","52.00-54.99","740.0-839.0","740.0-839.0","0.1200-0.1299",2444.434627
"10-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3508.102606
"80-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3649.202627
"00-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2937.572944
"00-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"90-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2554.543392
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2894.16045
"70-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2519.53475
"90-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2366.055726
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3525.788543
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3588.946757
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3726.207581
"90-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",1554.375907
"00-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3760.812589
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3723.233188
"90-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3588.946757
"70-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3176.169391
"00-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3525.788543
"70-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3649.202627
"70-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3516.14102
"00-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",998.5150397
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",2414.382004
"90-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2927.982521
"10-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3649.202627
"90-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3070.93417
"70-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",4162.623184
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",1123.27682
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2366.055726
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"70-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3900.092851
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3588.946757
"00-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2730.241602
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"10-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2403.5155
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2183.722742
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2424.017815
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",1895.716318
"10-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3581.745286
"90-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2602.757745
"70-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1400-0.1499",4429.837815
"70-l","F","49.00-51.99","<740.0","740.0-839.0","0.1200-0.1299",3350.890701
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3649.202627
"90-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3525.788543
"70-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2028.859166
"00-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3760.812589
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3900.092851
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2366.055726
"10-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2447.560326
"70-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",1123.27682
"80-l","M","52.00-54.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3588.946757
"80-l","F","52.00-54.99","740.0-839.0","740.0-839.0","0.1200-0.1299",2414.382004
"80-l","F","52.00-54.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3581.745286
"00-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2366.055726
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3760.812589
"90-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2286.146357
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3588.946757
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3017.805215
"10-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2395.73747
"70-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1400-0.1499",3000.1148
"70-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2424.017815
"10-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3588.946757
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3577.07446
"70-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3760.812589
"70-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3760.812589
"00-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3588.946757
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2334.14879
"10-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",4429.837815
"80-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",1828.188443
"80-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2541.515648
"80-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2924.209933
"00-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",1739.41768
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2414.382004
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3900.092851
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3649.202627
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2424.017815
"90-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3525.788543
"90-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3649.202627
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3760.812589
"00-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3588.946757
"80-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3900.092851
"00-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2424.017815
"10-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3513.169014
"10-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2971.682207
"70-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3633.097227
"00-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2554.543392
"00-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3900.092851
"10-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",4429.837815
"70-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3350.890701
"90-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3900.092851
"10-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",4153.167433
"00-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3366.00856
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3741.250945
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3900.092851
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"00-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3742.605965
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2635.916397
"90-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2424.017815
"10-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3204.693626
"10-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2406.605357
"70-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3588.946757
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2044.6198
"70-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1400-0.1499",2424.017815
"10-l","M","46.00-48.99","840.0-939.0","740.0-839.0",">=0.1500",3366.00856
"80-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",3760.812589
"80-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",2591.197066
"80-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",3649.202627
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3525.788543
"10-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3004.003098
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3760.812589
"90-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3742.605965
"10-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2507.963877
"00-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2611.725209
"70-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",4039.680016
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3633.097227
"70-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3059.568643
"10-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3576.94649
"00-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2424.017815
"80-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",3794.357309
"90-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2370.575475
"90-l","M","52.00-54.99","740.0-839.0","840.0-939.0","<0.1200",3588.946757
"90-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",4429.837815
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2924.209933
"00-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2730.241602
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3043.903328
"90-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3742.605965
"10-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3635.785771
"70-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3760.812589
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3588.946757
"80-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",2591.197066
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3760.812589
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3760.812589
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",1146.252204
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3644.180797
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3455.169764
"70-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",2470.548657
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3900.092851
"00-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3726.207581
"70-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3523.435202
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2986.355527
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",1095.802999
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3035.505354
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3192.148082
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3588.946757
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3649.202627
"90-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2183.722742
"70-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2286.146357
"70-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3900.092851
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",4429.837815
"70-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3649.202627
"70-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",4429.837815
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",1828.188443
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",1123.27682
"00-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",835.2572543
"70-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2194.554508
"90-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2839.40791
"00-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3577.07446
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3741.250945
"80-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3017.805215
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3588.946757
"70-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3458.857111
"90-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",2646.593158
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3649.202627
"80-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",3525.788543
"70-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3072.197954
"90-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",4429.837815
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2933.475947
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",844.0646231
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2774.019436
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3588.946757
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2366.055726
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3588.946757
"70-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3577.07446
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3649.202627
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3588.946757
"80-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3588.946757
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3649.202627
"10-l","M","46.00-48.99","840.0-939.0","740.0-839.0","0.1300-0.1399",2746.354811
"00-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2306.75481
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",3509.550865
"70-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",3192.148082
"90-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2932.509426
"70-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",2286.146357
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2054.930933
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3649.202627
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",4102.156283
"90-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",2424.017815
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3481.244848
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3649.202627
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3514.624883
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3588.946757
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2591.197066
"70-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3649.202627
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3588.946757
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3726.207581
"70-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",3760.812589
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",4070.945946
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3588.946757
"10-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",1441.092093
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2988.405789
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",4429.837815
"70-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1400-0.1499",3900.092851
"90-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3649.202627
"10-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",1123.27682
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3531.572589
"80-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",2414.382004
"80-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",3726.207581
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3900.092851
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",3760.812589
"10-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",3649.202627
"70-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",2717.28705
"00-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3912.908032
"70-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",3649.202627
"70-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",1344.195765
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3900.092851
"10-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1400-0.1499",3649.202627
"70-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3900.092851
"00-l","F","52.00-54.99","740.0-839.0",">=940.0","0.1200-0.1299",3576.94649
"70-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",3649.202627
"70-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3484.64509
"90-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"70-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3726.207581
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",2286.146357
"70-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3649.202627
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2774.019436
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3649.202627
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3350.890701
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2424.017815
"80-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",1828.188443
"80-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",3588.946757
"80-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",3588.946757
"00-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2424.017815
"80-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",3525.788543
"90-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",2424.017815
"10-l","F","49.00-51.99","<740.0","740.0-839.0","0.1200-0.1299",2901.134554
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2424.017815
"10-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",4429.837815
"00-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",2267.740218
"00-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1200-0.1299",3649.202627
"80-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1200-0.1299",2924.209933
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2562.277081
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3726.207581
"00-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3723.233188
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",4429.837815
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3325.196746
"70-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",2366.055726
"70-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"10-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",3649.202627
"80-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",1895.716318
"80-l","F","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2591.197066
"80-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2646.423352
"70-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3534.520046
"90-l","M",">55.00","740.0-839.0","840.0-939.0","<0.1200",3525.788543
"00-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",3900.092851
"00-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3633.097227
"70-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3723.233188
"70-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",3649.202627
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3350.890701
"00-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",4236.267854
"10-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",3438.130568
"70-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",4429.837815
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",3760.812589
"90-l","M",">55.00","840.0-939.0",">=940.0","0.1300-0.1399",2194.554508
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",3016.10232
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",2924.209933
"80-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",3649.202627
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3588.946757
"00-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",2366.055726
"80-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",3588.946757
"70-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3726.207581
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3760.812589
"00-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1200-0.1299",3649.202627
"90-l","F","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",2924.209933
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2424.017815
"10-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1200-0.1299",2774.019436
"90-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",2366.055726
"80-l","M",">55.00","840.0-939.0",">=940.0","0.1200-0.1299",3481.244848
"80-l","F",">55.00","840.0-939.0",">=940.0","0.1200-0.1299",2342.558336
"80-l","M",">55.00","840.0-939.0",">=940.0","0.1200-0.1299",3649.202627
"90-l","M","52.00-54.99","840.0-939.0",">=940.0","0.1300-0.1399",1123.27682
"10-l","M",">55.00","840.0-939.0",">=940.0","0.1200-0.1299",2924.209933
"10-l","M",">55.00","840.0-939.0",">=940.0","0.1300-0.1399",3110.097562
"80-l","M",">55.00","840.0-939.0",">=940.0","0.1200-0.1299",3649.202627
